id,area,roles,what_it_does,web_location,backing_routes,classification,mobile_treatment,phase,dependencies,risk,store_policy_note
PG-020,Auth,artist,"Artist application, 1,019-line multi-step form",website/src/app/(pages)/apply/page.tsx,POST /api/apply,Reused with modification,"Native multi-step form with a locally persisted draft, camera and library upload for sample work, and the same applySchema on the server. Section 8.7 sets the step split.",P2,POST /api/apply,HIGH,-
PG-021,Auth,artist,Claim a pre-seeded artist profile,website/src/app/(pages)/apply/claim/page.tsx,,Intentionally excluded,Web only. It is an admin-assisted one-off; the email that starts it links to the web.,Web only,-,Low,-
PG-022,Legal,artist,Artist agreement,website/src/app/(pages)/artist-agreement/page.tsx,TERMS_VERSION,Reused with modification,"In-app legal route, linked from the artist signup acceptance and from Settings > Legal.",P1,TERMS_VERSION,Med,-
PG-023,Artist portal,artist,"Dashboard: onboarding checklist, stat tiles, action items, activity feed, outreach allowance",website/src/app/(pages)/artist-portal/page.tsx,GET /api/dashboard; GET /api/outreach/allowance,Improved or redesigned for the app,"Becomes the artist Home tab: an action-first feed (requests awaiting you, offers expiring, orders to dispatch, unread messages) with the stat tiles below it. The web dashboard is information-first; on a phone the artist opens the app to do one thing.",P1,GET /api/dashboard; GET /api/outreach/allowance,Med,-
PG-024,Artist portal,artist,"Ranges, totals, by-date, top works, sources, per-venue",website/src/app/(pages)/artist-portal/analytics/page.tsx,GET /api/analytics/artist,Reused with modification,"Native charts with the same server aggregates. Per-venue breakdown is Pro-only, unchanged.",P3,GET /api/analytics/artist,Low,-
PG-025,Artist portal,artist,Browse and respond to venue briefs,website/src/app/(pages)/artist-portal/artwork-requests/page.tsx,GET /api/artwork-requests; POST /api/artwork-requests/[id]/responses,Reused with modification,Native list inside the Work tab.,P3,GET /api/artwork-requests; POST /api/artwork-requests/[id]/responses,Low,-
PG-026,Artist portal,artist,Brief detail and response composer,website/src/app/(pages)/artist-portal/artwork-requests/[id]/page.tsx,GET /api/artwork-requests/[id],Reused with modification,Native detail and response sheet.,P3,GET /api/artwork-requests/[id],Low,-
PG-027,Artist portal,artist,"Plan cards, Stripe Checkout, Billing Portal, Connect onboarding and dashboard, referral code, trial state",website/src/app/(pages)/artist-portal/billing/page.tsx,GET /api/me/subscription; POST /api/stripe-connect/onboard; GET /api/stripe-connect/dashboard,Reused with modification,"Split. Payouts (Stripe Connect onboarding and Express dashboard) stay in the app and open Stripe-hosted pages in an in-app browser, because payouts are not a purchase. The subscription half becomes a read-only plan state on iOS with no purchase control and no link; on Android the platform default is the same, with an owner decision open on a link-out. See section 6.",P2,GET /api/me/subscription; POST /api/stripe-connect/onboard; GET /api/stripe-connect/dashboard,HIGH,The single most compliance-sensitive screen in the app.
PG-028,Artist portal,artist,"Blog list (BLOGS_V1, off in production)",website/src/app/(pages)/artist-portal/blogs/page.tsx,BLOGS_V1,Intentionally excluded,Web only. The flag is off in production and long-form writing on a phone is not the job.,Web only,BLOGS_V1,Low,-
PG-029,Artist portal,artist,Blog editor (existing post),website/src/app/(pages)/artist-portal/blogs/[id]/edit/page.tsx,BLOGS_V1,Intentionally excluded,Web only.,Web only,BLOGS_V1,Low,-
PG-030,Artist portal,artist,Blog editor,website/src/app/(pages)/artist-portal/blogs/new/page.tsx,BLOGS_V1,Intentionally excluded,Web only.,Web only,BLOGS_V1,Low,-
PG-031,Artist portal,artist,Collections with optional size tiers,website/src/app/(pages)/artist-portal/collections/page.tsx,GET/POST/PATCH /api/collections,Reused with modification,"Native list and editor, size tiers priced from src/lib/collection-tiers.ts.",P3,GET/POST/PATCH /api/collections,Low,-
PG-032,Artist portal,artist,"Public-profile enquiries, mark handled",website/src/app/(pages)/artist-portal/enquiries/page.tsx,GET/PATCH /api/enquiry,Reused with modification,"Folded into the Messages tab as a second segment, since an enquiry is a message the artist cannot reply to in-thread.",P2,GET/PATCH /api/enquiry,Low,-
PG-033,Artist portal,artist,"QR label sheets: styles, sizes, themes, taglines, A4 print preview via window.print",website/src/app/(pages)/artist-portal/labels/page.tsx,NEW POST /api/labels/pdf (WP-N-LABELS),Rebuilt specifically for mobile,"Native label composer producing a PDF server-side, then AirPrint and the Android print service, plus share and email. window.print has no native equivalent and printing from a phone is a real venue-visit job.",P2,NEW POST /api/labels/pdf (WP-N-LABELS),HIGH,-
PG-034,Artist portal,artist,"Message inbox with attachments, pins, block, report, in-thread placement and offer cards, placement context drawer",website/src/app/(pages)/artist-portal/messages/page.tsx,GET/POST/PATCH /api/messages; /[conversationId]; /block; /report; /unread,Rebuilt specifically for mobile,"Native two-pane on tablet, stacked on phone. Push-triggered refresh replaces the 15s and 8s polls. Camera and file attachments, block and report as native long-press actions on a thread.",P1,GET/POST/PATCH /api/messages; /[conversationId]; /block; /report; /unread,HIGH,Apple 1.2 UGC: block and report must be present and easy to find.
PG-035,Artist portal,artist,"Purchase offers received, counter and accept",website/src/app/(pages)/artist-portal/offers/page.tsx,GET/PATCH /api/offers; /offers/[id],Reused with modification,Native list and sheet. The 60% floor and seven-day expiry stay server-side.,P2,GET/PATCH /api/offers; /offers/[id],Med,-
PG-036,Artist portal,artist,"Order list with status updates, tracking numbers and refunds",website/src/app/(pages)/artist-portal/orders/page.tsx,GET/PATCH /api/orders; POST /api/orders/[id]/events; POST /api/refunds/process,Reused with modification,Native list with a status action sheet and a tracking-number field. Barcode scanning for the tracking number is a P4 nicety.,P2,GET/PATCH /api/orders; POST /api/orders/[id]/events; POST /api/refunds/process,Med,-
PG-037,Artist portal,artist,"Placement list with stepper, counter dialog, QR modal, labels deep link",website/src/app/(pages)/artist-portal/placements/page.tsx,GET/POST/PATCH /api/placements,Rebuilt specifically for mobile,"Native list grouped by state, opening the shared placement detail. The 1,997-line web page's inline stepper moves into the detail screen.",P1,GET/POST/PATCH /api/placements,HIGH,-
PG-038,Artist portal,artist,"Works: single and bulk add, bulk pricing spreadsheet, drag reorder, frame options, per-size stock, shipping and in-store pricing, Artwork of the Week",website/src/app/(pages)/artist-portal/portfolio/page.tsx,GET/POST/PATCH /api/artist-works; POST /api/artist-works/[id]/feature,Rebuilt specifically for mobile,Native Works list with camera-first capture and background upload. The bulk pricing spreadsheet and the clipboard paste path are intentionally excluded on mobile and stay on the web; the drag reorder becomes long-press-and-drag on the list.,P2,GET/POST/PATCH /api/artist-works; POST /api/artist-works/[id]/feature,HIGH,-
PG-039,Artist portal,artist,"Instagram post generator: renders a PNG, copies a caption",website/src/app/(pages)/artist-portal/posts/page.tsx,NEW GET /api/social/post-image (WP-N-SOCIAL),Improved or redesigned for the app,"Native share sheet with the rendered image and the caption together, which is what the artist actually wanted. Rendering moves server-side so the app is not compositing canvases.",P3,NEW GET /api/social/post-image (WP-N-SOCIAL),Low,-
PG-040,Artist portal,artist,"Edit profile, now including the full works editor",website/src/app/(pages)/artist-portal/profile/page.tsx,GET/PATCH /api/artist-profile,Reused with modification,"Split into a native Profile screen (identity, bio, taxonomy, preferences) and the Works editor reached from the Work tab, because 1,163 plus 4,774 lines in one scroll is not a phone screen.",P2,GET/PATCH /api/artist-profile,Med,-
PG-041,Artist portal,artist,Saved items,website/src/app/(pages)/artist-portal/saved/page.tsx,GET/POST/DELETE /api/saved,Reused with modification,"Native list, offline-cached.",P2,GET/POST/DELETE /api/saved,Low,-
PG-042,Artist portal,artist,"Notification preferences, password change, account deletion",website/src/app/(pages)/artist-portal/settings/page.tsx,GET/PATCH /api/account/preferences; POST /api/account/delete,Reused with modification,"Native Settings, merged with the account screens so there is one Settings in the app rather than three.",P2,GET/PATCH /api/account/preferences; POST /api/account/delete,Med,Apple 5.1.1(v) account deletion lives here.
PG-043,Artist portal,artist,Showroom list (Pro),website/src/app/(pages)/artist-portal/showroom/page.tsx,GET /api/walls,Reused with modification,Native list of saved showrooms; opening one launches the WebView editor.,P3,GET /api/walls,Med,-
PG-044,Artist portal,artist,Full-bleed showroom editor (Konva and three.js),website/src/app/(pages)/artist-portal/showroom/[id]/page.tsx,GET/PATCH /api/walls/[id]/layouts/[lid]; GET /api/walls/quota,Reused with modification,"Embedded WebView editor, full-screen, with a native top bar. Justified individually in section 4.6: react-konva and three.js have no native equivalent, the editor is 2,025 plus 1,345 plus 768 lines, and the quota ledger already lives server-side.",P3,GET/PATCH /api/walls/[id]/layouts/[lid]; GET /api/walls/quota,Med,"4.2 risk is managed because it is one editor inside an otherwise native app, not the app."
PG-045,Artist portal,artist,Create a showroom from a preset or a photo,website/src/app/(pages)/artist-portal/showroom/new/page.tsx,POST /api/walls; POST /api/walls/upload-photo,Reused with modification,"Native create sheet (preset picker or camera and library), then the WebView editor.",P3,POST /api/walls; POST /api/walls/upload-photo,Med,-
PG-046,Artist portal,artist,Propose work onto a venue's public wall,website/src/app/(pages)/artist-portal/walls/propose/[wallId]/page.tsx,POST /api/venues/[slug]/walls/[wallId]/proposals,Reused with modification,Native proposal sheet on top of the venue wall screen; the compose step uses the WebView editor when the artist wants to lay the work out.,P3,POST /api/venues/[slug]/walls/[wallId]/proposals,Med,-
PG-047,Public marketing,all,For-artists marketing page,website/src/app/(pages)/artists/page.tsx,,Intentionally excluded,"Web. Its job is acquisition, which happens before install.",Web only,-,Low,-
PG-048,Marketplace,artist,Public artwork requests board,website/src/app/(pages)/artwork-requests/page.tsx,GET /api/artwork-requests/public,Reused with modification,Native list inside the artist Work tab.,P3,GET /api/artwork-requests/public,Low,-
PG-049,Editorial,all,"Blog index (BLOGS_V1, off in production)",website/src/app/(pages)/blog/page.tsx,BLOGS_V1,Intentionally excluded,Web. Revisit only if BLOGS_V1 ships and blog traffic justifies it.,Web only,BLOGS_V1,Low,4.2.2 content aggregation.
PG-050,Editorial,all,Blog post,website/src/app/(pages)/blog/[slug]/page.tsx,BLOGS_V1,Intentionally excluded,Web. Universal links for /blog/* open the web page in an in-app browser rather than bouncing to Safari.,Web only,BLOGS_V1,Low,-
PG-051,Marketplace,all,"Marketplace: galleries, portfolios and collections views, URL-mirrored filters, postcode and geolocation distance filter, featured sort",website/src/app/(pages)/browse/page.tsx,NEW GET /api/browse/feed (WP-N-BROWSE); GET /api/browse-collections,Rebuilt specifically for mobile,"The single most important rebuild. A virtualised two-column grid with server-side paging and search, a native filter sheet with committed-on-apply semantics, a segmented control for the three views, and Core Location for 'near me'. The web page is a 3,041-line client component that pulls the whole catalogue (191KB, 41 artists, 260 works, requested twice) and filters in the browser; that model does not survive a mid-range Android device.",P1,NEW GET /api/browse/feed (WP-N-BROWSE); GET /api/browse-collections,HIGH,-
PG-052,Marketplace,all,"Artist public profile: works grid, lightbox, enquiry form, placements, showroom link, themes",website/src/app/(pages)/browse/[slug]/page.tsx,"GET /api/browse-artists (single-artist mode needed, WP-C-ARTIST); POST /api/enquiry",Rebuilt specifically for mobile,"Native profile screen with a paged works grid, a native pinch-and-pan lightbox, share sheet, save, and Enquire as a sheet. This is the QR landing screen, so it must read the deep-link query and store the attribution claim before anything else.",P1,"GET /api/browse-artists (single-artist mode needed, WP-C-ARTIST); POST /api/enquiry",HIGH,-
PG-053,Marketplace,all,"Artwork page: size and frame selection, buy, make offer, collect from venue, view on your wall",website/src/app/(pages)/browse/[slug]/[workSlug]/page.tsx,GET /api/browse-artists; POST /api/checkout; POST /api/offers,Rebuilt specifically for mobile,"Native artwork screen with a size and frame picker as a bottom sheet, a sticky price and buy bar above the home indicator, and the three CTAs (buy, offer, collect from venue) resolved from the same server-priced payload the web page uses.",P1,GET /api/browse-artists; POST /api/checkout; POST /api/offers,HIGH,Apple 3.1.3(e) and Play physical-goods exception: this must NOT use in-app purchase.
PG-054,Marketplace,all,Public 2.5D showroom scene for a Pro artist,website/src/app/(pages)/browse/[slug]/showroom/page.tsx,GET /api/walls/[id]/layouts,Reused with modification,"Rendered in an embedded WebView on the artist profile, because the scene is three.js and there is no native equivalent worth building for a Pro-only surface with 9 wall_layouts rows in production. Justified per-screen in section 4.6.",P3,GET /api/walls/[id]/layouts,Med,"4.2 is satisfied because this is one embedded component inside a native screen, not a web page standing in for the app."
PG-055,Marketplace,all,Collection page with optional size tiers,website/src/app/(pages)/browse/collections/[collectionId]/page.tsx,GET /api/collections/[id]; GET /api/browse-collections,Reused with modification,Native collection screen reusing the artwork screen's size picker; collection-tier pricing comes from src/lib/collection-tiers.ts unchanged.,P2,GET /api/collections/[id]; GET /api/browse-collections,Low,-
PG-056,Auth,all,Post-signup verification holding page,website/src/app/(pages)/check-your-inbox/page.tsx,POST /api/auth/resend-verification,Reused with modification,"Native unconfirmed-email state with a resend control, matching PortalGuard's web state.",P1,POST /api/auth/resend-verification,Med,-
PG-057,Checkout,all,"Cart, shipping or collection choice, address, per-artist shipping, QR attribution replay",website/src/app/(pages)/checkout/page.tsx,POST /api/checkout (extended with a PaymentIntent mode),Rebuilt specifically for mobile,"Native checkout with Stripe PaymentSheet, Apple Pay and Google Pay. The cart, the server-side re-pricing, cart_sessions as the data of record and the QR attribution claim all stay exactly where they are; only the payment surface changes. See WP-N-PAYSHEET.",P2,POST /api/checkout (extended with a PaymentIntent mode),HIGH,Apple 3.1.3(e) mandates a non-IAP method for physical goods and names Apple Pay. Play's physical-goods exception is explicit.
PG-058,Checkout,all,Order confirmation read from the Stripe session,website/src/app/(pages)/checkout/confirmation/page.tsx,GET /api/checkout/session,Reused with modification,"Native confirmation screen with a haptic success, the order number, and Add to Wallet deferred to a later phase.",P2,GET /api/checkout/session,Med,-
PG-059,Legal,all,Complaints procedure,website/src/app/(pages)/complaints/page.tsx,,Intentionally excluded,"Web, from Settings > Help.",Web only,-,Low,-
PG-060,Public marketing,all,Contact form,website/src/app/(pages)/contact/page.tsx,POST /api/contact,Reused with modification,"Native form in Settings > Contact us, posting to POST /api/contact. Short enough to be worth a native screen and it is the support path a reviewer will look for.",P2,POST /api/contact,Low,Play and Apple both want a working support contact.
PG-061,Legal,all,Cookie policy and consent explainer,website/src/app/(pages)/cookies/page.tsx,,Intentionally excluded,There are no cookies in a native app. The consent banner does not ship; the analytics identifier section of the privacy policy covers what replaces it.,Web only,-,Low,-
PG-062,Curation,venue,Wallplace Curated tiers and brief form,website/src/app/(pages)/curated/page.tsx,POST /api/curation,Reused with modification,Native enquiry form only. The two pay-first tiers do not take payment in the app: the brief is submitted and the payment link arrives by email. This removes the whole 'is a curation shortlist a digital service' argument from review.,P3,POST /api/curation,Med,Avoids arguing Apple 3.1.3(e) over a service that is partly delivered as a document.
PG-063,Curation,venue,Per-tier deep dive,website/src/app/(pages)/curated/[tier]/page.tsx,,Reused with modification,Folded into the Curated enquiry screen as an expandable tier detail.,P3,-,Low,-
PG-064,Curation,venue,Enquiry confirmation,website/src/app/(pages)/curated/enquiry-sent/page.tsx,,Reused with modification,Native confirmation sheet.,P3,-,Low,-
PG-065,Curation,venue,Post-payment success page,website/src/app/(pages)/curated/success/page.tsx,,Intentionally excluded,"No payment happens in the app for Curated, so there is no success page. The web page still serves the emailed link.",Web only,-,Low,-
PG-066,Public marketing,customer,For-buyers marketing page,website/src/app/(pages)/customer/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-067,Customer portal,customer,My orders,website/src/app/(pages)/customer-portal/page.tsx,GET /api/orders,Reused with modification,Native list; the buyer's Home tab.,P2,GET /api/orders,Med,-
PG-068,Customer portal,customer,Delivery addresses,website/src/app/(pages)/customer-portal/addresses/page.tsx,GET/POST/PATCH/DELETE /api/customer-addresses,Reused with modification,Native list and form with the platform address autofill.,P2,GET/POST/PATCH/DELETE /api/customer-addresses,Low,-
PG-069,Customer portal,customer,"Explainer: customers cannot use the messaging API, enquire instead",website/src/app/(pages)/customer-portal/messages/page.tsx,,Improved or redesigned for the app,Not a tab. The explanation moves to the point of need: the Enquire button on an artist profile says the reply comes by email. A dead inbox tab is worse on a phone than on the web.,P2,-,Low,-
PG-070,Customer portal,customer,Order list (alias),website/src/app/(pages)/customer-portal/orders/page.tsx,GET /api/orders,Shared directly,Same screen as the customer Home tab.,P2,GET /api/orders,Low,-
PG-071,Customer portal,customer,Saved works,website/src/app/(pages)/customer-portal/saved/page.tsx,GET /api/saved,Reused with modification,"Native list, offline-cached.",P2,GET /api/saved,Low,-
PG-072,Customer portal,customer,Buyer settings,website/src/app/(pages)/customer-portal/settings/page.tsx,GET/PATCH /api/account/preferences,Reused with modification,"Native Settings, shared component with the other roles.",P2,GET/PATCH /api/account/preferences,Low,-
PG-073,Dev,dev,"Per-theme preview, dev surface",website/src/app/(pages)/dev/profile-designs/[slug]/page.tsx,,Intentionally excluded,"Web only, developer surface.",Web only,-,Low,-
PG-074,Public marketing,all,FAQ accordion,website/src/app/(pages)/faqs/page.tsx,,Intentionally excluded,"Web, opened in an in-app browser from Settings > Help. FAQ copy changes weekly; shipping it in a binary makes it stale between releases.",Web only,-,Low,-
PG-075,Public marketing,all,Feature request board with upvotes,website/src/app/(pages)/feature-requests/page.tsx,GET/POST /api/feature-requests; POST /api/feature-requests/[id]/upvote,Improved or redesigned for the app,"Native list with a native upvote (haptic on tap) in Settings > Ideas. Low cost, high signal for a founder working alone.",P4,GET/POST /api/feature-requests; POST /api/feature-requests/[id]/upvote,Low,UGC: needs the same report path as messages before it ships (Apple 1.2).
PG-076,Auth,all,Request a password reset,website/src/app/(pages)/forgot-password/page.tsx,Supabase GoTrue,Reused with modification,Native form. The reset email link is a universal link that opens the app on the reset screen.,P0,Supabase GoTrue,HIGH,Blocked on owner action A2 (Auth Site URL) before it can work at all.
PG-077,Marketplace,all,Galleries view entry point,website/src/app/(pages)/galleries/page.tsx,NEW GET /api/browse/feed,Shared directly,"Becomes one segment of the browse segmented control, not a separate screen.",P1,NEW GET /api/browse/feed,Low,-
PG-078,Public marketing,all,How it works explainer,website/src/app/(pages)/how-it-works/page.tsx,,Reused with modification,The content becomes the role-specific first-run onboarding carousel (three cards per role) rather than a page. The full web page stays reachable from Settings.,P1,-,Low,Counts towards 4.2 minimum functionality only if it replaces real features; it does not.
PG-079,Legal,all,Intellectual property and takedown policy,website/src/app/(pages)/ip-policy/page.tsx,,Reused with modification,"Linked from the in-app report flow, because Apple 1.2 and Play UGC both expect a stated policy reachable from the report control.",P2,-,Med,"Apple 1.2 UGC, Play UGC policy."
PG-080,Auth,all,"Email and password sign-in, OAuth buttons behind a flag, ?next= deep-link return",website/src/app/(pages)/login/page.tsx,Supabase GoTrue,Rebuilt specifically for mobile,"Native sign-in with PKCE, Keychain and Keystore token storage, optional biometric unlock as a local convenience, and Sign in with Apple whenever Google sign-in is offered.",P0,Supabase GoTrue,HIGH,"Apple 4.8: offering Google sign-in obliges an equivalent option, which Sign in with Apple satisfies."
PG-081,Public marketing,all,Newsletter double opt-in landing,website/src/app/(pages)/newsletter/confirmed/page.tsx,,Intentionally excluded,"Web. The confirmation link is opened from an email client, not the app.",Web only,-,Low,-
PG-082,Orders,customer,Order detail with status timeline and dispute form,website/src/app/(pages)/orders/[id]/page.tsx,GET /api/orders; POST /api/disputes,Reused with modification,"Native order detail. Only the buyer may mark delivered, unchanged. Dispute is a sheet.",P2,GET /api/orders; POST /api/disputes,Med,-
PG-083,Orders,guest,Guest order tracking by signed token,website/src/app/(pages)/orders/track/page.tsx,GET /api/orders/track,Reused with modification,"Universal link /orders/track?t= opens the app when installed and renders the same order detail read-only; the 90-day signed token is passed straight through, never re-minted on the client.",P2,GET /api/orders/track,Med,-
PG-084,Public marketing,all,Partners page,website/src/app/(pages)/partners/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-085,Placements,"artist,venue","Shared placement detail: stepper, counter dialog, QR modal, terms summary, photos, consignment record",website/src/app/(pages)/placements/[id]/page.tsx,GET/PATCH /api/placements/[id]; /history; /photos; /record; /review,Rebuilt specifically for mobile,"The single most valuable native screen for both operator roles. A stepper as a vertical timeline, counter as a sheet, photo capture from the camera, QR as a share-and-print action. Deep-linked from twelve email and bell targets.",P1,GET/PATCH /api/placements/[id]; /history; /photos; /record; /review,HIGH,-
PG-086,Placements,venue,Paid-loan monthly subscription setup via Stripe Checkout,website/src/app/(pages)/placements/[id]/payment/page.tsx,POST /api/placements/[id]/payment/setup,Reused with modification,"Opens Stripe's hosted page in an in-app browser (SFSafariViewController and Custom Tabs) and returns through a universal link. It is a recurring payment for a physical service, so it must not be in-app purchase, and Stripe hosting keeps card data out of the binary.",P2,POST /api/placements/[id]/payment/setup,HIGH,"Apple 3.1.3(e) physical services; Play 'physical services' exception names gym memberships, the same shape."
PG-087,Placements,"artist,venue",Post-completion review,website/src/app/(pages)/placements/[id]/review/page.tsx,POST /api/placements/[id]/review,Reused with modification,"Native rating and comment sheet, prompted by the review-request push.",P3,POST /api/placements/[id]/review,Low,UGC: reviews need the report path.
PG-088,Public marketing,artist,"Plan ladder, comparison table, founding offer",website/src/app/(pages)/pricing/page.tsx,GET /api/me/subscription; GET /api/outreach/allowance,Reused with modification,"iOS and Android: a read-only 'Your plan' comparison inside Settings that states what each tier includes and what the artist currently has. No price, no purchase control, no link, on iOS. See section 6 for the per-platform copy.",P2,GET /api/me/subscription; GET /api/outreach/allowance,HIGH,Apple 3.1.1 and 3.1.3: the compliance-critical screen. Copy differs by platform and region.
PG-089,Legal,all,Privacy policy,website/src/app/(pages)/privacy/page.tsx,,Reused with modification,"Same treatment as /terms. The sub-processor list gains APNs, FCM and the crash reporter before the first submission.",P1,-,Med,Apple privacy nutrition labels and Play Data safety must match this page.
PG-090,Dev,dev,"Profile theme gallery, dev surface",website/src/app/(pages)/profile-designs/page.tsx,,Intentionally excluded,"Web only, developer surface.",Web only,-,Low,-
PG-091,Curation,venue,Programmes pitch and quote request,website/src/app/(pages)/programmes/page.tsx,POST /api/curation,Reused with modification,"Native quote-request form (sites, pieces, sector, rotation cadence). Programmes is the launch product, so this is the one Curated surface worth native treatment.",P3,POST /api/curation,Med,Physical managed service: never in-app purchase on either store.
PG-092,Auth,venue,Standalone venue registration,website/src/app/(pages)/register-venue/page.tsx,POST /api/register-venue,Reused with modification,Merged into the native venue signup; the separate route stays on the web for the printed flyer QR.,P1,POST /api/register-venue,Low,-
PG-093,Auth,all,Set a new password from the emailed token,website/src/app/(pages)/reset-password/page.tsx,Supabase GoTrue,Reused with modification,Native screen reached by universal link. Falls back to the web page when the app is not installed.,P0,Supabase GoTrue,HIGH,Blocked on owner action A2.
PG-094,Legal,customer,Returns and cancellation policy,website/src/app/(pages)/returns/page.tsx,,Reused with modification,"Linked from the order detail screen and the checkout review step, opened in an in-app browser.",P2,-,Med,Consumer-law disclosure; must be reachable before payment.
PG-095,Auth,all,Role chooser hub,website/src/app/(pages)/signup/page.tsx,,Reused with modification,Native role chooser as the first-run screen for a signed-out visitor who taps Sign up.,P0,-,Med,-
PG-096,Auth,artist,Artist account creation with terms acceptance and Turnstile,website/src/app/(pages)/signup/artist/page.tsx,POST /api/terms/accept; NEW POST /api/auth/attest (WP-N-ATTEST),Rebuilt specifically for mobile,"Native form. Turnstile does not exist on native, so App Attest and Play Integrity replace it as the server-verified signal. TERMS_VERSION is recorded exactly as on the web.",P1,POST /api/terms/accept; NEW POST /api/auth/attest (WP-N-ATTEST),HIGH,Turnstile is a web widget; a server-verified attestation is the native equivalent.
PG-097,Auth,customer,Buyer account creation,website/src/app/(pages)/signup/customer/page.tsx,,Rebuilt specifically for mobile,"Native form. Guest checkout stays available, so an account is never forced.",P2,-,Low,Apple 5.1.1(v): do not require a login for browsing or buying.
